Date,BIP,PV,SV,EX,IM,AI,AUI,BAI,SAI,BWS,LFW,BAU,FV,PGOB,VG,HVG,SDL,IK,GW,UDL,OEG,CAPA,WHOUR,lend1,lend2,lend3,lend4,lend5,lend6,lend7,lend8,lend9,lend10
Q1 1991,610.41,340.69295,101.73998,111.24517,100.6878,134.35,37.73,84.50,15.44,545.42,7.48,50.73,36.13,147.8,128.68,83.59,26.83,9.5,42.68,53.89,104.84,89,398.2,349050,689.181,1454152,343421,70914,238813,170250,23717,2249964,864282
Q2 1991,607.737,340.38691,103.3549,104.79275,101.35866,135.70,38.80,84.14,15.55,540.16,7.47,50.95,35.86,145.1,126.53,83.33,27.05,9.21,40.37,54.38,105.66,88.1,369.3,354648,696.264,1498791,354490,73636,245158,174469,25805,2309449,874371
Q3 1991,606.616,334.87846,106.21946,109.89388,102.67122,136.08,38.22,85.57,15.65,539.46,7.43,52.11,36,142.3,123.96,81.54,27.08,8.99,42.66,54.44,107.58,86.4,397.6,358762,706.811,1529001,357925,75193,251039,177040,25053,2358557,886938
Q4 1991,615.154,340.08088,107.2384,110.06279,102.43788,139.18,38.55,88.94,15.66,547.21,7.44,53.81,36.49,143.6,125.28,82.52,27.14,9.41,42.85,54.72,110.3,85.9,388.4,367619,727.038,1596278,359871,76278,252771,182289,27497,2451491,911783
Q1 1992,623.842,347.13065,109.26206,111.43923,105.99652,143.49,38.60,94.23,15.81,555.65,7.26,54.09,36.92,144.8,126.25,83.62,28.74,9.87,43.75,56.82,110.93,86,403.2,373433,738.954,1628367,355988,79906,259344,185278,27204,2493251,922410
Q2 1992,620.048,346.25626,110.39641,106.03448,103.05056,141.93,37.95,93.40,15.82,551.85,7.24,54.42,36.65,141.4,123.04,82.07,28.4,10.2,43.86,57.63,111.5,80.8,371,382140,753.251,1680463,364204,83677,263707,188701,29488,2564575,940206
Q3 1992,618.409,347.87387,112.03063,109.04087,102.55469,138.21,35.84,92.37,15.88,550.92,7.25,54.49,37.41,138.0,119.89,82.32,28.38,10.38,44.52,57.86,112.47,79.5,399.2,391914,770.734,1704697,359371,85211,265956,195617,29424,2606541,960036
Q4 1992,616.598,350.32217,112.26135,103.97392,104.0131,138.30,34.13,95.49,15.99,548.06,7.24,56.31,37.78,134.6,116.82,82.57,28.02,10.31,44.75,57.53,112.35,77.3,391.4,393452,778.531,1729263,339926,84452,269122,196113,30714,2648169,970246
Q1 1993,611.769,348.70452,112.70354,100.4018,94.07342,135.28,32.37,94.85,15.81,544.44,7.1,54.01,38.48,130.9,112.75,81.35,28.22,10.66,45.24,58.66,112.74,76.4,393.5,401551,794.832,1737548,332151,87142,271054,197596,30103,2667497,986239
Q2 1993,612.027,346.73717,112.22289,98.17215,94.861,134.15,31.30,95.22,15.87,543.97,7.11,54.06,39.3,128.9,111.1,80.79,28.09,10.76,46.01,59.22,113.17,76,365,409615,818.524,1762247,329389,91335,274184,203432,31795,2710469,1007174
Q3 1993,615.477,349.09801,111.93449,98.4762,96.20282,135.09,31.10,96.68,15.95,545.83,7.16,55.17,39.79,128.7,111.02,81.17,27.93,10.88,46.45,59.21,113.04,76,393.2,420051,849.116,1788301,323782,93096,278840,208766,32943,2761157,1035048
Q4 1993,615.046,351.89605,111.76146,100.26667,96.37785,132.98,30.16,95.56,16.01,545.68,7.15,54.18,39.28,129.6,111.67,80.77,27.75,10.95,46.8,59.32,112.69,76.8,387,437003,896.074,1834672,317082,96015,283387,214535,34235,2848403,1085044
Q1 1994,623.605,352.14751,115.13081,103.60234,98.36837,137.15,30.30,100.69,15.88,549.99,5.52,55.77,39.73,130.2,112.84,82.01,30.21,10.57,47.69,57.92,114.52,78.8,394.2,444210,924.138,1845745,315554,99277,284092,216594,35854,2875704,1106970
Q2 1994,627.227,353.54646,115.97679,108.36527,102.6275,138.59,30.36,102.33,15.93,555.42,5.57,57.02,39.86,132.0,114.5,81.96,30.08,10.65,48.5,58.54,115.59,80.3,363.5,453340,952.642,1867826,317901,102860,286078,222418,35351,2923699,1137356
Q3 1994,630.849,354.98915,116.01524,107.92614,104.66955,139.38,30.96,102.23,15.99,558.9,5.58,57,39.62,132.1,114.6,82.84,30.25,10.86,49.07,59.39,116.29,82.1,391.9,468998,983.17,1891235,316636,106172,288983,229211,36149,2976982,1176447
Q4 1994,637.921,356.34442,117.45725,108.53418,106.65324,142.29,31.71,104.52,16.03,565.95,5.62,58.6,38.94,135.5,117.94,84.21,30.26,10.95,49.4,59.77,116.69,83.2,384.6,462639,1020.477,1884564,315258,106837,291882,213057,37656,3007273,1201425
Q1 1995,635.355,355.90738,116.06811,112.92554,107.11952,138.73,31.18,100.66,16.30,563.09,5.82,55,37.98,132.6,114.91,83.63,29.88,11.08,52.21,60.13,116.82,84.6,395.9,455278,1036.17,1862633,312744,108937,298539,211015,39916,2995570,1205979
Q2 1995,640.53,358.79275,118.14454,113.77003,110.03672,140.19,31.02,102.71,16.35,568.28,5.89,56.45,37.91,133.4,115.42,84.45,29.73,11.25,52.91,60.71,117.92,84.6,360.9,458790,1059.408,1896726,316337,113956,302992,213019,41432,3051755,1229347
Q3 1995,641.651,360.27918,119.97102,114.58074,110.85354,139.97,31.65,101.29,16.40,569.83,5.95,55.25,38.11,132.4,114.41,85.21,29.73,11.44,53.47,61.39,118.77,84,390.3,463009,1085.853,1919313,318480,117463,307733,210325,40826,3098145,1253915
Q4 1995,641.91,361.37211,121.73982,116.37107,112.07876,138.64,32.08,98.86,16.47,571.22,5.96,54,38.43,131.7,113.56,85.31,29.58,11.7,54.07,61.92,120.05,83.7,381.8,481786,1118.968,1965286,316910,117165,310635,217564,41295,3175916,1303810
